Points,3000m,3000m sh,2 Miles,2 Miles sh,5000m,5000m sh,10000m,600m,600m sh,800m,800m sh,1000m,1000m sh,1500m,1500m sh,Mile,Mile sh,2000m,2000m sh,2000m SC,3000m SC
81,12:20.30,12:21.34,13:17.45,13:21.00,21:09.24,21:12.87,45:56.83,1:55.00,1:56.58,2:41.77,2:43.74,3:30.64,3:33.33,5:40.36,5:42.08,6:06.96,6:08.14,7:47.05,7:48.13,9:31.01,14:43.00
82,12:19.69,12:20.73,13:16.79,13:20.35,21:08.19,21:11.84,45:54.41,1:54.91,1:56.49,2:41.64,2:43.61,3:30.47,3:33.16,5:40.09,5:41.81,6:06.66,6:07.85,7:46.68,7:47.76,9:30.46,14:42.16
83,12:19.08,12:20.13,13:16.14,13:19.70,21:07.14,21:10.82,45:52.00,1:54.83,1:56.41,2:41.52,2:43.49,3:30.31,3:33.00,5:39.81,5:41.54,6:06.37,6:07.57,7:46.31,7:47.39,9:29.92,14:41.32
84,12:18.47,12:19.53,13:15.48,13:19.06,21:06.11,21:09.80,45:49.61,1:54.74,1:56.32,2:41.40,2:43.37,3:30.15,3:32.84,5:39.54,5:41.27,6:06.08,6:07.28,7:45.93,7:47.03,9:29.38,14:40.49
85,12:17.87,12:18.93,13:14.84,13:18.42,21:05.07,21:08.79,45:47.24,1:54.65,1:56.23,2:41.28,2:43.24,3:29.98,3:32.68,5:39.27,5:41.01,6:05.78,6:07.00,7:45.57,7:46.67,9:28.84,14:39.66
86,12:17.27,12:18.34,13:14.19,13:17.78,21:04.05,21:07.79,45:44.88,1:54.56,1:56.15,2:41.15,2:43.12,3:29.82,3:32.52,5:39.00,5:40.74,6:05.50,6:06.72,7:45.20,7:46.31,9:28.31,14:38.84
87,12:16.68,12:17.75,13:13.55,13:17.15,21:03.03,21:06.79,45:42.53,1:54.48,1:56.06,2:41.03,2:43.00,3:29.66,3:32.36,5:38.74,5:40.48,6:05.21,6:06.44,7:44.84,7:45.95,9:27.78,14:38.02
88,12:16.08,12:17.16,13:12.91,13:16.52,21:02.01,21:05.80,45:40.19,1:54.39,1:55.97,2:40.91,2:42.88,3:29.50,3:32.20,5:38.47,5:40.22,6:04.92,6:06.16,7:44.47,7:45.59,9:27.25,14:37.20
89,12:15.50,12:16.58,13:12.28,13:15.89,21:01.00,21:04.81,45:37.87,1:54.30,1:55.89,2:40.79,2:42.76,3:29.34,3:32.04,5:38.21,5:39.96,6:04.64,6:05.88,7:44.11,7:45.24,9:26.72,14:36.40
90,12:14.91,12:16.00,13:11.65,13:15.27,21:00.00,21:03.83,45:35.56,1:54.22,1:55.80,2:40.67,2:42.64,3:29.19,3:31.89,5:37.95,5:39.70,6:04.36,6:05.61,7:43.76,7:44.89,9:26.20,14:35.59
