Points,3000m,3000m sh,2 Miles,2 Miles sh,5000m,5000m sh,10000m,600m,600m sh,800m,800m sh,1000m,1000m sh,1500m,1500m sh,Mile,Mile sh,2000m,2000m sh,2000m SC,3000m SC
428,10:10.83,10:13.21,10:58.05,11:03.35,17:27.48,17:35.83,37:26.23,1:36.18,1:37.87,2:15.50,2:17.43,2:55.76,2:58.70,4:42.40,4:45.05,5:04.57,5:07.30,6:27.91,6:30.38,7:35.45,11:45.09
429,10:10.57,10:12.95,10:57.76,11:03.07,17:27.02,17:35.38,37:25.17,1:36.14,1:37.83,2:15.45,2:17.38,2:55.69,2:58.62,4:42.28,4:44.93,5:04.44,5:07.17,6:27.75,6:30.22,7:35.21,11:44.72
430,10:10.30,10:12.68,10:57.48,11:02.78,17:26.56,17:34.93,37:24.12,1:36.11,1:37.79,2:15.39,2:17.32,2:55.62,2:58.55,4:42.16,4:44.81,5:04.31,5:07.05,6:27.58,6:30.06,7:34.97,11:44.35
431,10:10.03,10:12.42,10:57.19,11:02.50,17:26.11,17:34.48,37:23.07,1:36.07,1:37.75,2:15.34,2:17.27,2:55.54,2:58.48,4:42.04,4:44.69,5:04.18,5:06.92,6:27.42,6:29.90,7:34.74,11:43.99
432,10:09.76,10:12.16,10:56.90,11:02.22,17:25.65,17:34.03,37:22.02,1:36.03,1:37.71,2:15.29,2:17.21,2:55.47,2:58.41,4:41.92,4:44.58,5:04.05,5:06.79,6:27.26,6:29.74,7:34.50,11:43.62
433,10:09.50,10:11.89,10:56.62,11:01.93,17:25.19,17:33.59,37:20.96,1:35.99,1:37.67,2:15.23,2:17.16,2:55.40,2:58.34,4:41.80,4:44.46,5:03.93,5:06.67,6:27.09,6:29.58,7:34.26,11:43.25
434,10:09.23,10:11.63,10:56.33,11:01.65,17:24.74,17:33.14,37:19.92,1:35.95,1:37.64,2:15.18,2:17.11,2:55.33,2:58.27,4:41.68,4:44.34,5:03.80,5:06.54,6:26.93,6:29.42,7:34.02,11:42.89
435,10:08.97,10:11.37,10:56.04,11:01.37,17:24.28,17:32.70,37:18.87,1:35.91,1:37.60,2:15.12,2:17.05,2:55.26,2:58.20,4:41.56,4:44.22,5:03.67,5:06.42,6:26.77,6:29.26,7:33.79,11:42.52
436,10:08.70,10:11.10,10:55.76,11:01.09,17:23.83,17:32.25,37:17.82,1:35.87,1:37.56,2:15.07,2:17.00,2:55.19,2:58.12,4:41.44,4:44.11,5:03.54,5:06.29,6:26.61,6:29.10,7:33.55,11:42.16
437,10:08.44,10:10.84,10:55.47,11:00.80,17:23.38,17:31.81,37:16.78,1:35.83,1:37.52,2:15.02,2:16.94,2:55.11,2:58.05,4:41.32,4:43.99,5:03.41,5:06.17,6:26.44,6:28.94,7:33.31,11:41.80
438,10:08.17,10:10.58,10:55.19,11:00.52,17:22.92,17:31.36,37:15.73,1:35.80,1:37.48,2:14.96,2:16.89,2:55.04,2:57.98,4:41.21,4:43.87,5:03.29,5:06.05,6:26.28,6:28.78,7:33.08,11:41.43
439,10:07.91,10:10.32,10:54.90,11:00.24,17:22.47,17:30.92,37:14.69,1:35.76,1:37.44,2:14.91,2:16.84,2:54.97,2:57.91,4:41.09,4:43.76,5:03.16,5:05.92,6:26.12,6:28.62,7:32.84,11:41.07
440,10:07.64,10:10.06,10:54.62,10:59.96,17:22.02,17:30.48,37:13.65,1:35.72,1:37.41,2:14.85,2:16.78,2:54.90,2:57.84,4:40.97,4:43.64,5:03.03,5:05.80,6:25.96,6:28.46,7:32.60,11:40.70
441,10:07.38,10:09.79,10:54.33,10:59.68,17:21.56,17:30.03,37:12.61,1:35.68,1:37.37,2:14.80,2:16.73,2:54.83,2:57.77,4:40.85,4:43.53,5:02.91,5:05.67,6:25.80,6:28.31,7:32.37,11:40.34
442,10:07.11,10:09.53,10:54.05,10:59.40,17:21.11,17:29.59,37:11.57,1:35.64,1:37.33,2:14.75,2:16.68,2:54.76,2:57.70,4:40.73,4:43.41,5:02.78,5:05.55,6:25.64,6:28.15,7:32.13,11:39.98
443,10:06.85,10:09.27,10:53.77,10:59.12,17:20.66,17:29.15,37:10.53,1:35.60,1:37.29,2:14.69,2:16.62,2:54.69,2:57.63,4:40.61,4:43.29,5:02.65,5:05.43,6:25.48,6:27.99,7:31.90,11:39.62
444,10:06.59,10:09.01,10:53.48,10:58.84,17:20.21,17:28.71,37:09.49,1:35.57,1:37.25,2:14.64,2:16.57,2:54.62,2:57.56,4:40.50,4:43.18,5:02.52,5:05.30,6:25.31,6:27.83,7:31.66,11:39.26
445,10:06.33,10:08.75,10:53.20,10:58.56,17:19.76,17:28.27,37:08.45,1:35.53,1:37.22,2:14.59,2:16.52,2:54.55,2:57.49,4:40.38,4:43.06,5:02.40,5:05.18,6:25.15,6:27.67,7:31.43,11:38.90
446,10:06.06,10:08.49,10:52.92,10:58.28,17:19.31,17:27.83,37:07.42,1:35.49,1:37.18,2:14.53,2:16.46,2:54.48,2:57.42,4:40.26,4:42.95,5:02.27,5:05.06,6:24.99,6:27.52,7:31.20,11:38.54
447,10:05.80,10:08.23,10:52.64,10:58.00,17:18.86,17:27.39,37:06.39,1:35.45,1:37.14,2:14.48,2:16.41,2:54.40,2:57.35,4:40.14,4:42.83,5:02.15,5:04.93,6:24.83,6:27.36,7:30.96,11:38.17
448,10:05.54,10:07.98,10:52.35,10:57.72,17:18.41,17:26.95,37:05.35,1:35.41,1:37.10,2:14.43,2:16.36,2:54.33,2:57.28,4:40.03,4:42.72,5:02.02,5:04.81,6:24.67,6:27.20,7:30.73,11:37.82
449,10:05.28,10:07.72,10:52.07,10:57.45,17:17.97,17:26.51,37:04.32,1:35.38,1:37.06,2:14.37,2:16.30,2:54.26,2:57.21,4:39.91,4:42.60,5:01.89,5:04.69,6:24.51,6:27.04,7:30.49,11:37.46
450,10:05.02,10:07.46,10:51.79,10:57.17,17:17.52,17:26.08,37:03.29,1:35.34,1:37.03,2:14.32,2:16.25,2:54.19,2:57.14,4:39.79,4:42.49,5:01.77,5:04.56,6:24.35,6:26.89,7:30.26,11:37.10
451,10:04.76,10:07.20,10:51.51,10:56.89,17:17.07,17:25.64,37:02.26,1:35.30,1:36.99,2:14.27,2:16.20,2:54.12,2:57.07,4:39.68,4:42.37,5:01.64,5:04.44,6:24.19,6:26.73,7:30.03,11:36.74
452,10:04.50,10:06.94,10:51.23,10:56.61,17:16.63,17:25.20,37:01.23,1:35.26,1:36.95,2:14.22,2:16.14,2:54.05,2:57.00,4:39.56,4:42.26,5:01.52,5:04.32,6:24.04,6:26.57,7:29.80,11:36.38
453,10:04.23,10:06.68,10:50.95,10:56.34,17:16.18,17:24.76,37:00.21,1:35.22,1:36.91,2:14.16,2:16.09,2:53.98,2:56.93,4:39.44,4:42.14,5:01.39,5:04.20,6:23.88,6:26.42,7:29.56,11:36.02
454,10:03.97,10:06.43,10:50.67,10:56.06,17:15.73,17:24.33,36:59.18,1:35.19,1:36.88,2:14.11,2:16.04,2:53.91,2:56.86,4:39.33,4:42.03,5:01.27,5:04.07,6:23.72,6:26.26,7:29.33,11:35.66
455,10:03.72,10:06.17,10:50.39,10:55.78,17:15.29,17:23.89,36:58.16,1:35.15,1:36.84,2:14.06,2:15.98,2:53.84,2:56.79,4:39.21,4:41.91,5:01.14,5:03.95,6:23.56,6:26.11,7:29.10,11:35.31
456,10:03.46,10:05.91,10:50.11,10:55.51,17:14.84,17:23.46,36:57.13,1:35.11,1:36.80,2:14.01,2:15.93,2:53.77,2:56.72,4:39.09,4:41.80,5:01.01,5:03.83,6:23.40,6:25.95,7:28.87,11:34.95
457,10:03.20,10:05.66,10:49.83,10:55.23,17:14.40,17:23.02,36:56.11,1:35.07,1:36.76,2:13.95,2:15.88,2:53.70,2:56.65,4:38.98,4:41.68,5:00.89,5:03.71,6:23.24,6:25.79,7:28.64,11:34.60
458,10:02.94,10:05.40,10:49.55,10:54.96,17:13.96,17:22.59,36:55.09,1:35.04,1:36.73,2:13.90,2:15.83,2:53.63,2:56.58,4:38.86,4:41.57,5:00.77,5:03.59,6:23.08,6:25.64,7:28.41,11:34.24
459,10:02.68,10:05.14,10:49.27,10:54.68,17:13.51,17:22.16,36:54.07,1:35.00,1:36.69,2:13.85,2:15.77,2:53.56,2:56.51,4:38.75,4:41.46,5:00.64,5:03.46,6:22.92,6:25.48,7:28.17,11:33.88
460,10:02.42,10:04.89,10:48.99,10:54.41,17:13.07,17:21.72,36:53.05,1:34.96,1:36.65,2:13.80,2:15.72,2:53.49,2:56.44,4:38.63,4:41.34,5:00.52,5:03.34,6:22.77,6:25.33,7:27.94,11:33.53
461,10:02.16,10:04.63,10:48.72,10:54.13,17:12.63,17:21.29,36:52.03,1:34.92,1:36.61,2:13.74,2:15.67,2:53.42,2:56.38,4:38.52,4:41.23,5:00.39,5:03.22,6:22.61,6:25.17,7:27.71,11:33.17
462,10:01.90,10:04.38,10:48.44,10:53.86,17:12.19,17:20.86,36:51.02,1:34.89,1:36.58,2:13.69,2:15.62,2:53.35,2:56.31,4:38.40,4:41.11,5:00.27,5:03.10,6:22.45,6:25.02,7:27.48,11:32.82
463,10:01.65,10:04.12,10:48.16,10:53.59,17:11.75,17:20.43,36:50.00,1:34.85,1:36.54,2:13.64,2:15.56,2:53.29,2:56.24,4:38.28,4:41.00,5:00.14,5:02.98,6:22.29,6:24.86,7:27.25,11:32.47
464,10:01.39,10:03.87,10:47.88,10:53.31,17:11.31,17:19.99,36:48.99,1:34.81,1:36.50,2:13.59,2:15.51,2:53.22,2:56.17,4:38.17,4:40.89,5:00.02,5:02.86,6:22.14,6:24.71,7:27.02,11:32.11
465,10:01.13,10:03.61,10:47.61,10:53.04,17:10.87,17:19.56,36:47.97,1:34.77,1:36.47,2:13.53,2:15.46,2:53.15,2:56.10,4:38.05,4:40.77,4:59.90,5:02.74,6:21.98,6:24.55,7:26.79,11:31.76
466,10:00.88,10:03.36,10:47.33,10:52.77,17:10.43,17:19.13,36:46.96,1:34.74,1:36.43,2:13.48,2:15.41,2:53.08,2:56.03,4:37.94,4:40.66,4:59.77,5:02.62,6:21.82,6:24.40,7:26.57,11:31.41
467,10:00.62,10:03.11,10:47.06,10:52.49,17:09.99,17:18.70,36:45.95,1:34.70,1:36.39,2:13.43,2:15.36,2:53.01,2:55.96,4:37.82,4:40.55,4:59.65,5:02.50,6:21.67,6:24.25,7:26.34,11:31.05
468,10:00.36,10:02.85,10:46.78,10:52.22,17:09.55,17:18.27,36:44.94,1:34.66,1:36.35,2:13.38,2:15.30,2:52.94,2:55.89,4:37.71,4:40.44,4:59.52,5:02.38,6:21.51,6:24.09,7:26.11,11:30.70
469,10:00.11,10:02.60,10:46.50,10:51.95,17:09.11,17:17.85,36:43.93,1:34.62,1:36.32,2:13.33,2:15.25,2:52.87,2:55.83,4:37.60,4:40.32,4:59.40,5:02.26,6:21.35,6:23.94,7:25.88,11:30.35
470,9:59.85,10:02.35,10:46.23,10:51.68,17:08.67,17:17.42,36:42.92,1:34.59,1:36.28,2:13.27,2:15.20,2:52.80,2:55.76,4:37.48,4:40.21,4:59.28,5:02.14,6:21.20,6:23.79,7:25.65,11:30.00
471,9:59.60,10:02.09,10:45.95,10:51.41,17:08.23,17:16.99,36:41.92,1:34.55,1:36.24,2:13.22,2:15.15,2:52.73,2:55.69,4:37.37,4:40.10,4:59.16,5:02.02,6:21.04,6:23.63,7:25.42,11:29.65
472,9:59.34,10:01.84,10:45.68,10:51.13,17:07.80,17:16.56,36:40.91,1:34.51,1:36.21,2:13.17,2:15.10,2:52.66,2:55.62,4:37.25,4:39.99,4:59.03,5:01.90,6:20.88,6:23.48,7:25.20,11:29.30
473,9:59.09,10:01.59,10:45.41,10:50.86,17:07.36,17:16.13,36:39.90,1:34.48,1:36.17,2:13.12,2:15.04,2:52.60,2:55.55,4:37.14,4:39.87,4:58.91,5:01.78,6:20.73,6:23.33,7:24.97,11:28.95
474,9:58.83,10:01.34,10:45.13,10:50.59,17:06.93,17:15.71,36:38.90,1:34.44,1:36.13,2:13.07,2:14.99,2:52.53,2:55.48,4:37.02,4:39.76,4:58.79,5:01.66,6:20.57,6:23.17,7:24.74,11:28.60
475,9:58.58,10:01.09,10:44.86,10:50.32,17:06.49,17:15.28,36:37.90,1:34.40,1:36.10,2:13.02,2:14.94,2:52.46,2:55.42,4:36.91,4:39.65,4:58.66,5:01.54,6:20.42,6:23.02,7:24.51,11:28.25
476,9:58.32,10:00.83,10:44.58,10:50.05,17:06.06,17:14.86,36:36.90,1:34.36,1:36.06,2:12.96,2:14.89,2:52.39,2:55.35,4:36.80,4:39.54,4:58.54,5:01.42,6:20.26,6:22.87,7:24.29,11:27.90
477,9:58.07,10:00.58,10:44.31,10:49.78,17:05.62,17:14.43,36:35.90,1:34.33,1:36.02,2:12.91,2:14.84,2:52.32,2:55.28,4:36.68,4:39.43,4:58.42,5:01.30,6:20.11,6:22.72,7:24.06,11:27.55
478,9:57.82,10:00.33,10:44.04,10:49.51,17:05.19,17:14.01,36:34.90,1:34.29,1:35.99,2:12.86,2:14.79,2:52.25,2:55.21,4:36.57,4:39.31,4:58.30,5:01.18,6:19.95,6:22.56,7:23.83,11:27.20
479,9:57.56,10:00.08,10:43.77,10:49.24,17:04.75,17:13.58,36:33.90,1:34.25,1:35.95,2:12.81,2:14.74,2:52.19,2:55.15,4:36.46,4:39.20,4:58.18,5:01.06,6:19.80,6:22.41,7:23.61,11:26.85
480,9:57.31,9:59.83,10:43.49,10:48.98,17:04.32,17:13.16,36:32.90,1:34.22,1:35.91,2:12.76,2:14.68,2:52.12,2:55.08,4:36.34,4:39.09,4:58.05,5:00.94,6:19.64,6:22.26,7:23.38,11:26.51
481,9:57.06,9:59.58,10:43.22,10:48.71,17:03.89,17:12.73,36:31.90,1:34.18,1:35.88,2:12.71,2:14.63,2:52.05,2:55.01,4:36.23,4:38.98,4:57.93,5:00.82,6:19.49,6:22.11,7:23.16,11:26.16
482,9:56.81,9:59.33,10:42.95,10:48.44,17:03.45,17:12.31,36:30.91,1:34.14,1:35.84,2:12.66,2:14.58,2:51.98,2:54.94,4:36.12,4:38.87,4:57.81,5:00.70,6:19.33,6:21.96,7:22.93,11:25.81
483,9:56.55,9:59.08,10:42.68,10:48.17,17:03.02,17:11.89,36:29.91,1:34.11,1:35.80,2:12.60,2:14.53,2:51.91,2:54.88,4:36.00,4:38.76,4:57.69,5:00.59,6:19.18,6:21.80,7:22.71,11:25.47
484,9:56.30,9:58.83,10:42.41,10:47.90,17:02.59,17:11.47,36:28.92,1:34.07,1:35.77,2:12.55,2:14.48,2:51.85,2:54.81,4:35.89,4:38.65,4:57.57,5:00.47,6:19.03,6:21.65,7:22.48,11:25.12
485,9:56.05,9:58.58,10:42.14,10:47.63,17:02.16,17:11.04,36:27.93,1:34.03,1:35.73,2:12.50,2:14.43,2:51.78,2:54.74,4:35.78,4:38.54,4:57.45,5:00.35,6:18.87,6:21.50,7:22.26,11:24.77
486,9:55.80,9:58.34,10:41.86,10:47.37,17:01.73,17:10.62,36:26.94,1:34.00,1:35.69,2:12.45,2:14.38,2:51.71,2:54.67,4:35.67,4:38.42,4:57.33,5:00.23,6:18.72,6:21.35,7:22.03,11:24.43
487,9:55.55,9:58.09,10:41.59,10:47.10,17:01.30,17:10.20,36:25.95,1:33.96,1:35.66,2:12.40,2:14.33,2:51.64,2:54.61,4:35.55,4:38.31,4:57.20,5:00.11,6:18.57,6:21.20,7:21.81,11:24.08
488,9:55.30,9:57.84,10:41.32,10:46.83,17:00.87,17:09.78,36:24.96,1:33.92,1:35.62,2:12.35,2:14.27,2:51.57,2:54.54,4:35.44,4:38.20,4:57.08,5:00.00,6:18.41,6:21.05,7:21.59,11:23.74
489,9:55.05,9:57.59,10:41.05,10:46.57,17:00.44,17:09.36,36:23.97,1:33.89,1:35.59,2:12.30,2:14.22,2:51.51,2:54.47,4:35.33,4:38.09,4:56.96,4:59.88,6:18.26,6:20.90,7:21.36,11:23.40
490,9:54.80,9:57.34,10:40.78,10:46.30,17:00.01,17:08.94,36:22.98,1:33.85,1:35.55,2:12.25,2:14.17,2:51.44,2:54.41,4:35.22,4:37.98,4:56.84,4:59.76,6:18.11,6:20.75,7:21.14,11:23.05
491,9:54.55,9:57.10,10:40.52,10:46.04,16:59.58,17:08.52,36:22.00,1:33.82,1:35.51,2:12.20,2:14.12,2:51.37,2:54.34,4:35.11,4:37.87,4:56.72,4:59.64,6:17.95,6:20.60,7:20.91,11:22.71
492,9:54.30,9:56.85,10:40.25,10:45.77,16:59.16,17:08.10,36:21.01,1:33.78,1:35.48,2:12.15,2:14.07,2:51.30,2:54.27,4:34.99,4:37.76,4:56.60,4:59.52,6:17.80,6:20.45,7:20.69,11:22.36
493,9:54.05,9:56.60,10:39.98,10:45.50,16:58.73,17:07.68,36:20.03,1:33.74,1:35.44,2:12.10,2:14.02,2:51.24,2:54.20,4:34.88,4:37.65,4:56.48,4:59.41,6:17.65,6:20.30,7:20.47,11:22.02
494,9:53.80,9:56.35,10:39.71,10:45.24,16:58.30,17:07.27,36:19.04,1:33.71,1:35.40,2:12.05,2:13.97,2:51.17,2:54.14,4:34.77,4:37.54,4:56.36,4:59.29,6:17.50,6:20.15,7:20.25,11:21.68
495,9:53.55,9:56.11,10:39.44,10:44.97,16:57.87,17:06.85,36:18.06,1:33.67,1:35.37,2:12.00,2:13.92,2:51.10,2:54.07,4:34.66,4:37.43,4:56.24,4:59.17,6:17.34,6:20.00,7:20.02,11:21.34
496,9:53.30,9:55.86,10:39.17,10:44.71,16:57.45,17:06.43,36:17.08,1:33.63,1:35.33,2:11.94,2:13.87,2:51.04,2:54.00,4:34.55,4:37.32,4:56.12,4:59.06,6:17.19,6:19.85,7:19.80,11:20.99
497,9:53.05,9:55.62,10:38.91,10:44.45,16:57.02,17:06.02,36:16.10,1:33.60,1:35.30,2:11.89,2:13.82,2:50.97,2:53.94,4:34.44,4:37.21,4:56.00,4:58.94,6:17.04,6:19.70,7:19.58,11:20.65
498,9:52.80,9:55.37,10:38.64,10:44.18,16:56.60,17:05.60,36:15.12,1:33.56,1:35.26,2:11.84,2:13.77,2:50.90,2:53.87,4:34.32,4:37.10,4:55.88,4:58.82,6:16.89,6:19.55,7:19.36,11:20.31
499,9:52.55,9:55.12,10:38.37,10:43.92,16:56.17,17:05.18,36:14.14,1:33.53,1:35.23,2:11.79,2:13.72,2:50.84,2:53.81,4:34.21,4:37.00,4:55.76,4:58.71,6:16.74,6:19.40,7:19.14,11:19.97
500,9:52.31,9:54.88,10:38.10,10:43.65,16:55.75,17:04.77,36:13.16,1:33.49,1:35.19,2:11.74,2:13.67,2:50.77,2:53.74,4:34.10,4:36.89,4:55.64,4:58.59,6:16.58,6:19.25,7:18.92,11:19.63
501,9:52.06,9:54.63,10:37.84,10:43.39,16:55.32,17:04.35,36:12.19,1:33.45,1:35.15,2:11.69,2:13.62,2:50.70,2:53.67,4:33.99,4:36.78,4:55.52,4:58.47,6:16.43,6:19.11,7:18.70,11:19.29
502,9:51.81,9:54.39,10:37.57,10:43.13,16:54.90,17:03.94,36:11.21,1:33.42,1:35.12,2:11.64,2:13.57,2:50.64,2:53.61,4:33.88,4:36.67,4:55.40,4:58.36,6:16.28,6:18.96,7:18.47,11:18.95
503,9:51.56,9:54.15,10:37.31,10:42.87,16:54.48,17:03.52,36:10.24,1:33.38,1:35.08,2:11.59,2:13.52,2:50.57,2:53.54,4:33.77,4:36.56,4:55.28,4:58.24,6:16.13,6:18.81,7:18.25,11:18.61
504,9:51.32,9:53.90,10:37.04,10:42.60,16:54.05,17:03.11,36:09.26,1:33.35,1:35.05,2:11.54,2:13.47,2:50.50,2:53.47,4:33.66,4:36.45,4:55.17,4:58.13,6:15.98,6:18.66,7:18.03,11:18.27
505,9:51.07,9:53.66,10:36.77,10:42.34,16:53.63,17:02.70,36:08.29,1:33.31,1:35.01,2:11.49,2:13.42,2:50.44,2:53.41,4:33.55,4:36.34,4:55.05,4:58.01,6:15.83,6:18.51,7:17.81,11:17.93
506,9:50.82,9:53.41,10:36.51,10:42.08,16:53.21,17:02.28,36:07.32,1:33.27,1:34.98,2:11.44,2:13.37,2:50.37,2:53.34,4:33.44,4:36.23,4:54.93,4:57.89,6:15.68,6:18.36,7:17.59,11:17.59
507,9:50.58,9:53.17,10:36.24,10:41.82,16:52.79,17:01.87,36:06.35,1:33.24,1:34.94,2:11.39,2:13.32,2:50.30,2:53.28,4:33.33,4:36.12,4:54.81,4:57.78,6:15.53,6:18.22,7:17.37,11:17.26
508,9:50.33,9:52.93,10:35.98,10:41.56,16:52.37,17:01.46,36:05.38,1:33.20,1:34.90,2:11.34,2:13.27,2:50.24,2:53.21,4:33.22,4:36.02,4:54.69,4:57.66,6:15.38,6:18.07,7:17.15,11:16.92
509,9:50.09,9:52.68,10:35.72,10:41.30,16:51.95,17:01.05,36:04.41,1:33.17,1:34.87,2:11.29,2:13.22,2:50.17,2:53.15,4:33.11,4:35.91,4:54.57,4:57.55,6:15.23,6:17.92,7:16.94,11:16.58
510,9:49.84,9:52.44,10:35.45,10:41.03,16:51.53,17:00.64,36:03.44,1:33.13,1:34.83,2:11.24,2:13.17,2:50.11,2:53.08,4:33.00,4:35.80,4:54.45,4:57.43,6:15.08,6:17.77,7:16.72,11:16.24
511,9:49.60,9:52.20,10:35.19,10:40.77,16:51.11,17:00.22,36:02.48,1:33.10,1:34.80,2:11.19,2:13.12,2:50.04,2:53.01,4:32.89,4:35.69,4:54.34,4:57.32,6:14.93,6:17.63,7:16.50,11:15.91
512,9:49.35,9:51.96,10:34.92,10:40.51,16:50.69,16:59.81,36:01.51,1:33.06,1:34.76,2:11.14,2:13.07,2:49.97,2:52.95,4:32.78,4:35.58,4:54.22,4:57.20,6:14.78,6:17.48,7:16.28,11:15.57
513,9:49.11,9:51.71,10:34.66,10:40.25,16:50.27,16:59.40,36:00.55,1:33.03,1:34.73,2:11.09,2:13.02,2:49.91,2:52.88,4:32.67,4:35.48,4:54.10,4:57.09,6:14.63,6:17.33,7:16.06,11:15.23
514,9:48.86,9:51.47,10:34.40,10:39.99,16:49.85,16:58.99,35:59.58,1:32.99,1:34.69,2:11.04,2:12.97,2:49.84,2:52.82,4:32.56,4:35.37,4:53.98,4:56.97,6:14.48,6:17.19,7:15.84,11:14.90
515,9:48.62,9:51.23,10:34.13,10:39.73,16:49.43,16:58.59,35:58.62,1:32.95,1:34.66,2:10.99,2:12.92,2:49.78,2:52.75,4:32.45,4:35.26,4:53.87,4:56.86,6:14.33,6:17.04,7:15.62,11:14.56
516,9:48.37,9:50.99,10:33.87,10:39.47,16:49.01,16:58.18,35:57.66,1:32.92,1:34.62,2:10.95,2:12.87,2:49.71,2:52.69,4:32.34,4:35.15,4:53.75,4:56.74,6:14.18,6:16.89,7:15.41,11:14.23
517,9:48.13,9:50.75,10:33.61,10:39.22,16:48.60,16:57.77,35:56.70,1:32.88,1:34.59,2:10.90,2:12.82,2:49.64,2:52.62,4:32.23,4:35.05,4:53.63,4:56.63,6:14.03,6:16.75,7:15.19,11:13.89
518,9:47.89,9:50.51,10:33.35,10:38.96,16:48.18,16:57.36,35:55.74,1:32.85,1:34.55,2:10.85,2:12.77,2:49.58,2:52.56,4:32.12,4:34.94,4:53.51,4:56.51,6:13.88,6:16.60,7:14.97,11:13.56
519,9:47.64,9:50.27,10:33.08,10:38.70,16:47.76,16:56.95,35:54.78,1:32.81,1:34.52,2:10.80,2:12.72,2:49.51,2:52.49,4:32.02,4:34.83,4:53.40,4:56.40,6:13.73,6:16.45,7:14.75,11:13.22
520,9:47.40,9:50.03,10:32.82,10:38.44,16:47.35,16:56.54,35:53.82,1:32.78,1:34.48,2:10.75,2:12.67,2:49.45,2:52.43,4:31.91,4:34.73,4:53.28,4:56.28,6:13.59,6:16.31,7:14.54,11:12.89
521,9:47.16,9:49.78,10:32.56,10:38.18,16:46.93,16:56.14,35:52.86,1:32.74,1:34.45,2:10.70,2:12.62,2:49.38,2:52.36,4:31.80,4:34.62,4:53.16,4:56.17,6:13.44,6:16.16,7:14.32,11:12.56
522,9:46.92,9:49.54,10:32.30,10:37.92,16:46.51,16:55.73,35:51.91,1:32.71,1:34.41,2:10.65,2:12.57,2:49.32,2:52.30,4:31.69,4:34.51,4:53.05,4:56.06,6:13.29,6:16.02,7:14.10,11:12.22
523,9:46.67,9:49.31,10:32.04,10:37.67,16:46.10,16:55.32,35:50.95,1:32.67,1:34.37,2:10.60,2:12.52,2:49.25,2:52.23,4:31.58,4:34.40,4:52.93,4:55.94,6:13.14,6:15.87,7:13.89,11:11.89
524,9:46.43,9:49.07,10:31.78,10:37.41,16:45.69,16:54.92,35:49.99,1:32.64,1:34.34,2:10.55,2:12.47,2:49.19,2:52.17,4:31.47,4:34.30,4:52.81,4:55.83,6:12.99,6:15.73,7:13.67,11:11.56
525,9:46.19,9:48.83,10:31.52,10:37.15,16:45.27,16:54.51,35:49.04,1:32.60,1:34.31,2:10.50,2:12.42,2:49.12,2:52.10,4:31.36,4:34.19,4:52.70,4:55.72,6:12.84,6:15.58,7:13.46,11:11.23
526,9:45.95,9:48.59,10:31.26,10:36.89,16:44.86,16:54.11,35:48.09,1:32.57,1:34.27,2:10.45,2:12.37,2:49.06,2:52.04,4:31.26,4:34.09,4:52.58,4:55.60,6:12.70,6:15.44,7:13.24,11:10.89
527,9:45.71,9:48.35,10:31.00,10:36.64,16:44.44,16:53.70,35:47.14,1:32.53,1:34.24,2:10.40,2:12.33,2:48.99,2:51.97,4:31.15,4:33.98,4:52.46,4:55.49,6:12.55,6:15.29,7:13.03,11:10.56
528,9:45.47,9:48.11,10:30.74,10:36.38,16:44.03,16:53.30,35:46.19,1:32.50,1:34.20,2:10.36,2:12.28,2:48.93,2:51.91,4:31.04,4:33.87,4:52.35,4:55.38,6:12.40,6:15.15,7:12.81,11:10.23
529,9:45.22,9:47.87,10:30.48,10:36.13,16:43.62,16:52.90,35:45.24,1:32.46,1:34.17,2:10.31,2:12.23,2:48.86,2:51.84,4:30.93,4:33.77,4:52.23,4:55.26,6:12.26,6:15.00,7:12.60,11:09.90
530,9:44.98,9:47.63,10:30.22,10:35.87,16:43.21,16:52.49,35:44.29,1:32.43,1:34.13,2:10.26,2:12.18,2:48.80,2:51.78,4:30.82,4:33.66,4:52.11,4:55.15,6:12.11,6:14.86,7:12.38,11:09.57
531,9:44.74,9:47.39,10:29.96,10:35.61,16:42.79,16:52.09,35:43.34,1:32.39,1:34.10,2:10.21,2:12.13,2:48.73,2:51.72,4:30.72,4:33.55,4:52.00,4:55.04,6:11.96,6:14.71,7:12.17,11:09.24
532,9:44.50,9:47.16,10:29.70,10:35.36,16:42.38,16:51.69,35:42.39,1:32.36,1:34.06,2:10.16,2:12.08,2:48.67,2:51.65,4:30.61,4:33.45,4:51.88,4:54.92,6:11.81,6:14.57,7:11.95,11:08.91
533,9:44.26,9:46.92,10:29.44,10:35.10,16:41.97,16:51.28,35:41.44,1:32.32,1:34.03,2:10.11,2:12.03,2:48.60,2:51.59,4:30.50,4:33.34,4:51.77,4:54.81,6:11.67,6:14.42,7:11.74,11:08.58
534,9:44.02,9:46.68,10:29.19,10:34.85,16:41.56,16:50.88,35:40.50,1:32.29,1:33.99,2:10.06,2:11.98,2:48.54,2:51.52,4:30.39,4:33.24,4:51.65,4:54.70,6:11.52,6:14.28,7:11.52,11:08.25
535,9:43.78,9:46.45,10:28.93,10:34.59,16:41.15,16:50.48,35:39.55,1:32.25,1:33.96,2:10.01,2:11.94,2:48.47,2:51.46,4:30.29,4:33.13,4:51.54,4:54.58,6:11.37,6:14.14,7:11.31,11:07.92
